# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
# associations retrieved on: 2015-08-16 16:50:42-04
# gofunc built on: 2014-08-29 20:00:45.229015-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 06/05/2014 $
#   downloaded on: 2014-06-23 12:15:18-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201404-termdb-tables.tar.gz
#   downloaded on: 2014-04-28 17:00:50-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2014-02-26 11:38:08.723614-05
#     synergizer db built from: Ensembl Genes 74 / Ensembl Metazoa Genes 21 / Ensembl Plants Genes 21
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 22607
# number of attributes: 17970
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 39
# Number of entities in query: 39
# Total number of entities: 22610
# Original total number of entities: 22607
# Entities not in default gene space: 3
# Total number of attributes: 17970
# Translation required: yes
# Translation coverage: 0.999722
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
2	4	2.77949067018716	1.73567815869816e-05	0.046	GO:0060512	prostate gland morphogenesis
6	291	1.18030430675886	9.85330477991534e-06	0.026	GO:0002009	morphogenesis of an epithelium
8	722	0.916706625858133	2.66111803486107e-05	0.05	GO:0006082	organic acid metabolic process
9	832	0.915189471350513	9.2954230566206e-06	0.026	GO:0044711	single-organism biosynthetic process
10	1064	0.861112510653968	9.31515867861521e-06	0.026	GO:0046983	protein dimerization activity
10	1080	0.854249369935026	1.06147427224664e-05	0.026	GO:0042802	identical protein binding
13	1697	0.800503342142507	2.91846047103607e-06	0.009	GO:0030154	cell differentiation
30	7808	0.785751314066885	7.5247082236551e-08	<0.001	GO:0044763	single-organism cellular process
34	11579	0.777481341769152	2.40021859951651e-06	0.003	GO:0005488	binding
14	2307	0.701364904433379	1.62695341344633e-05	0.031	GO:0048869	cellular developmental process
17	3089	0.693387114480243	4.87865316593957e-06	0.011	GO:1901576	organic substance biosynthetic process
17	3161	0.681720849142574	6.70154092473799e-06	0.014	GO:0009058	biosynthetic process
32	10740	0.681306291169688	9.21284772359882e-06	0.026	GO:0044699	single-organism process
26	7029	0.63984374346245	5.11841682703395e-06	0.011	GO:0071704	organic substance metabolic process
27	7746	0.626633070327063	8.77242892340615e-06	0.026	GO:0008152	metabolic process
25	6791	0.6136163311523	1.12116829139617e-05	0.027	GO:0044238	primary metabolic process
21	5149	0.596910001235135	2.4482022706432e-05	0.05	GO:0003824	catalytic activity
