Experiment Names	time inclusive
P7.5	7.5
P3.5	3.5
P12.5	12.5
P2.5	2.5
P13.5	13.5
p22	22.0
p25	25.0
P5.5	5.5
p26	26.0
p21	21.0
P10.5	10.5
P26	26.0
P4.5	4.5
P11.5	11.5
p0.5	0.5
P7	7.0
P23	23.0
p12.5	12.5
p2.5	2.5
P12	12.0
P10	10.0
P11	11.0
p5.5	5.5
P13	13.0
P14	14.0
p10.5	10.5
P16	16.0
p4.5	4.5
P18	18.0
P15	15.0
P2	2.0
P3	3.0
P1	1.0
P6	6.0
P6.5	6.5
P4	4.0
P5	5.0
P8	8.0
P9	9.0
P8.5	8.5
p14	14.0
p15	15.0
p17	17.0
p18	18.0
p19	19.0
p7.5	7.5
p1	1.0
p7	7.0
P9.5	9.5
P25	25.0
P24	24.0
P27	27.0
p8.5	8.5
P20	20.0
P1.5	1.5
P22	22.0
P0.5	0.5
P28	28.0
