Gene	p0.5	P0.5	p0.5	p1	P1	P1	P1.5	P1.5	P1.5	P2	P2	P2	p2.5	P2.5	P2.5	P3	P3	P3	P3.5	P3.5	P3.5	P4	P4	P4	p4.5	P4.5	P4.5	P4.5	P5	P5	P5	P5.5	p5.5	P5.5	P5.5	P6	P6	P6	P6	P6	P6.5	P6.5	P6.5	P7	p7	P7	P7.5	p7.5	P7.5	P8	P8	P8	P8	P8.5	p8.5	P8.5	P8.5	P8.5	P9	P9	P9	P9	P9	P9.5	P9.5	P9.5	P10	P10	P10	P10	P10.5	p10.5	P10.5	P11	P11	P11	P11	P11.5	P11.5	P11.5	P12	P12	P12	P12	P12	P12.5	P12.5	p12.5	p12.5	P12.5	P13	P13	P13	P13	P13	P13	P13.5	P13.5	p14	P14	p14	p14	P14	P15	p15	P15	P16	P16	P16	P16	P16	p17	p17	p17	p18	P18	p18	P18	p19	p19	P20	P20	P20	P20	p21	p21	p21	P22	p22	P22	P23	P23	P23	P24	P24	P24	P24	P24	P25	P25	p25	P25	P26	P26	P26	p26	P27	P27	P27	P28	P28	P28	P28
mcmv-miR-m01-1	-82.6715672938	45.8220442682	156.337130202	122.934480573	4.38684007625	1139.10872742	151.221795085	6300.72186763	6662.33746435	-49.2031491003	-8.58287312594	-30.5572476086	-114.751235172	-84.4485437164	821.966438535	257.771738039	-107.167512474	-31.9461639703	-98.2631491171	117.104156548	586.679306133	536.600601399	76.6475484965	-76.7168419957	2788.83263601	-141.016578536	828.725926242	67.6892491313	705.314866861	-27.076092833	-19.3968622003	74.9861333382	-82.1378686837	535.901010559	526.703659297	-130.585494525	-76.2788905566	260.732283661	-115.609385112	28910.8852264	-43.5207836632	-75.6215620048	936.003970024	-43.816978008	-108.543090337	904.877605214	-57.3057617255	83.388612127	903.184266788	-72.3149609622	-108.368602589	4457.02729108	15198.3996975	578.034965078	14815.3498486	147.158885003	6492.65375018	1533.84112756	3030.26516628	-45.8315041265	-3.16157117367	8.7039850382	-48.5832695818	141.088151472	-9.8195430608	887.401548287	606.398137233	852.690697626	-125.959152563	1353.28011068	912.493690311	-99.7204283803	-95.2577443233	-16.4623489118	-16.8110435398	21.1577964602	701.948574184	-60.3524621536	78.6808283484	449.066957517	803.79563425	423.94283034	145.497666909	-64.4147384178	154.683621791	523.602934137	-19.9785305276	917.306876991	-125.418375529	759.89156126	778.671398331	452.960956542	932.744164039	45.5749553969	-25.804409293	278.72412707	127.890964745	81.4991622218	46.3604091405	-71.8937509163	-34.4912690221	381.968558902	107.237206668	352.342275428	-66.5275882604	7593.28717229	1157.02423277	657.271789282	263.733409179	955.093682307	225.760836273	63.1878805787	4985.94626346	566.272292341	55.1053663115	-135.451049458	1984.95723003	-16.8926498062	31.0608314127	195.76446164	1298.42724392	24526.2928874	1513.17872129	28798.7483353	73.8379841995	26.5783157781	469.191746278	58.9370696624	-18.885152982	-120.997515432	109.551276357	4984.00500313	5119.31503324	36.1601375116	776.435340016	340.052828898	3.44801871064	290.569626402	-133.075751565	-114.748472485	-37.5822076219	-43.9234019458	25.5703513496	-85.7386550104	-45.0836456417	-25.0744571971	-20.6192937871	-38.3505906743	-74.1050768132	534.193431358	23491.2643133	15.8045923828	1070.9615131
mcmv-miR-m01-2	-79.5815833929	27.8598934281	147.084209184	93.7804803567	-7.54852696276	1061.81638571	120.79074062	5535.559724	5711.46089486	-51.3265801487	-31.1711774044	-42.5538395979	-117.906444219	-89.0485827577	849.31291025	213.692905023	-108.202361137	-45.8975372467	-109.431931691	110.560490645	507.340324102	508.080623013	36.2551590591	-95.7919411093	2537.41791772	-137.157647939	715.56475702	57.9210289496	654.546949261	-46.4197149686	-27.4726696348	76.9558391005	-79.2661244974	439.333944857	403.614857464	-142.751966157	-90.4960207341	234.380807052	-126.138934792	29097.4095613	-41.0565080044	-81.969475504	725.382425443	-70.2032759977	-114.583887738	708.941231846	-57.3057617255	34.1343640914	826.74503927	-78.0676215087	-119.565686088	4677.39080732	14885.7382831	572.599931354	15114.5917873	112.798784066	6066.58066575	1330.63182641	3119.05843526	-40.1639549744	-83.5407350388	-49.7802253942	-61.9354647638	11.706210118	-64.7465180921	831.704866053	576.033772924	806.207562088	-130.697839203	1257.28547427	837.44521708	-102.016325353	-105.90464371	-36.1005107991	-35.9886195289	17.6816745746	672.762336987	-75.4429987945	65.4350774958	372.382413961	702.040570773	369.900151244	137.860396774	-65.3883982758	143.070550434	528.437898863	-68.2838413307	978.170442242	-123.42403585	835.342485916	792.365839631	416.703140394	871.078325887	30.0077369967	-27.2874722864	253.190414049	105.688911371	76.0913748496	45.009783602	-81.5500174934	-34.4912690221	394.52390071	116.304273499	334.665775158	-65.3996905896	7190.87261117	1062.68140181	608.731892099	242.76174218	880.907611351	196.606431385	49.4217570655	4611.14682003	566.272292341	59.2144719577	-135.451049458	1970.70260141	-18.1596659384	34.4041992976	171.873669885	1249.51457901	24861.5000056	1360.28884768	28997.1439447	64.1044135905	24.0477528121	456.992297285	43.3304255213	-28.395499675	-125.571693945	92.7805587915	4564.86650557	5012.35107787	34.4462320801	642.430503596	307.988411191	-14.9541313539	255.651580447	-132.157545027	-123.14319592	-46.2172326861	-48.4906111816	26.7128932532	-93.2883713214	-54.0960891711	-43.0158173273	-23.9876625474	-54.4580423633	-80.9499085943	514.660235599	22300.0050493	1.77661248109	984.067370535
mcmv-miR-m01-3	-84.9890552195	26.2269706244	128.578367146	75.9641468908	-15.9734919315	1010.2881579	105.575213387	5455.01634046	5473.74175249	-56.9890629444	-45.5455528544	-43.6444388696	-122.323736885	-91.4486031271	753.600259249	216.012843603	-113.376604452	-47.0601516864	-113.546746324	75.6609391631	512.299010479	460.547325704	22.3267489082	-99.0807513013	2556.75751143	-141.016578536	644.094544879	31.8724417981	564.292873529	-60.2365879226	-34.2025091635	69.0770160513	-87.8813570564	418.341104487	383.76182491	-153.397628834	-94.5580579277	222.669039671	-132.155820323	27232.1662115	-54.1993115178	-83.5564538787	699.05473237	-84.0908012555	-129.25439571	664.697534634	-61.6212703771	23.0124371156	771.152873803	-89.5729426017	-130.762769586	4425.54678876	15198.3996975	534.554695284	14216.8659712	80.5861894369	5938.75874042	1245.0700154	3119.05843526	-41.5808422624	-76.6510924218	-63.7655800628	-66.3861964912	-6.20821253094	-82.7553623647	762.084013261	490.001407384	746.443530682	-139.498257248	1180.48976514	852.454911726	-114.261109205	-113.275574055	-52.2731147064	-46.2166600564	-4.91311768212	596.878120274	-78.5169969991	44.620326156	337.525803253	618.242283204	385.3409167	134.805488721	-77.0723165716	138.425321891	523.602934137	-78.1420680252	879.267148708	-132.066174462	715.878521877	785.518618981	398.574232321	847.953636581	14.4405185965	-34.7027872534	219.145463355	93.578700439	65.2758001052	32.8541537555	-85.688417455	-41.1545697787	386.153672838	93.6366064207	324.059874996	-78.9344626397	7039.96715075	1045.52815981	614.125214008	206.061324932	813.465728664	175.40322783	28.7725717958	4142.64751575	535.793969776	55.1053663115	-139.815225909	1856.66557243	-28.2957949955	29.3891474702	153.496137765	1161.47178216	24526.2928874	1393.05096345	28798.7483353	33.2814399955	17.2995849029	444.792848292	51.8431405073	-44.6989511488	-133.805215269	94.8768984872	4468.14223691	4976.69642608	32.7323266486	620.096364192	295.162644109	-24.1552063862	246.922068958	-139.962300598	-123.14319592	-53.892810521	-54.770523881	13.0023904102	-97.4063984001	-59.5035552887	-53.7806334055	-32.9699792414	-64.3703203258	-80.0943046217	514.660235599	21257.6531933	-1.34071638595	936.6705655
mcmv-miR-m01-4	-87.3065431452	27.8598934281	135.51805791	71.1051468547	-13.1651702752	1018.87619587	116.443447125	5575.83141577	5473.74175249	-54.1578215466	-35.2781418187	-36.0102439674	-120.115090552	-89.8485895475	753.600259249	239.212229401	-109.2372098	-47.0601516864	-108.844101029	93.1107149043	522.216383233	455.793995973	27.8981129686	-94.4764170325	2614.77629258	-142.946043835	685.785501961	44.8967353738	637.624310061	-49.1830895594	-28.8186375405	69.0770160513	-86.7326593818	477.121057523	411.556070486	-147.314393018	-91.5115300325	219.741097825	-129.899488248	27605.2148814	-49.2707602003	-86.7304106283	797.783581392	-81.3132962039	-124.939540424	727.902816365	-62.1007713384	35.7232108022	854.541122004	-83.8202820552	-123.637352814	4488.5077934	14781.5178117	572.599931354	14416.360597	108.503771448	6066.58066575	1277.15569453	3008.06684904	-45.1230604825	-77.7993661913	-44.6946418783	-78.6257087414	1.75375309083	-80.0540357238	796.894439657	530.487226462	746.443530682	-134.759570609	1305.28279248	874.969453696	-115.791707186	-119.008519879	-41.876440766	-39.8241347267	2.03912608917	672.762336987	-73.2073637366	46.5125762778	396.782041456	642.184651081	396.921490792	139.387850801	-79.9932961455	145.393164705	513.933004686	-62.368905314	879.267148708	-132.730954355	722.166098932	758.12973638	423.954703624	847.953636581	18.3323231965	-37.6689132402	219.145463355	119.817490791	69.6020300029	35.5554048325	-80.1705508395	-44.010270103	377.783444967	100.436906544	348.806975374	-82.3181556522	7190.87261117	1088.4112648	619.518535918	216.547158431	840.442481739	172.752827386	42.5386953089	4205.11408965	561.192571913	46.8871550192	-138.568318352	1970.70260141	-21.9607143348	22.7024117004	157.171644189	1229.94951304	25531.9142419	1403.97166871	28997.1439447	44.6372723726	18.9866268802	448.85933129	51.8431405073	-32.4713625435	-130.60329031	90.6842190957	4629.34935135	5083.66038145	37.8740429431	648.014038447	301.57552765	-27.6056095233	264.381091936	-137.666784254	-120.492230625	-50.0550216036	-51.9160181085	18.7150999281	-98.779074093	-54.0960891711	-44.2119080027	-28.4788208944	-65.6093550711	-75.8162847585	524.426833479	20662.0235613	-2.89938081947	920.871630489
mcmv-miR-m107-1-3p	-83.444063269	31.1257390354	193.348814277	116.455813859	2.98267924813	1173.46087929	162.090028823	6461.80863471	6662.33746435	-47.7875284014	-2.42242650453	-20.7418541628	-111.91154703	-80.8485131624	931.352325393	246.17204514	-99.406147501	-42.4096939276	-98.2631491171	152.003708031	641.22485628	522.340612206	130.968348085	-72.1125077269	2885.53060458	-139.087113238	715.56475702	85.597652798	733.519265527	-7.73247069736	-15.358958483	84.8346621497	-85.00961287	569.489555151	506.850626744	-129.064685571	-78.3099091534	254.87639997	-113.353053038	29283.9338963	-28.7351297105	-75.6215620048	988.659356169	-56.3157507399	-109.406061395	898.55707704	-55.8672588416	104.043619368	937.929370205	-63.1107040877	-109.386519271	4488.5077934	16136.3839406	610.645167423	15613.3283518	196.5515301	7089.15606838	1501.75544843	3252.24833873	-37.3301803984	9.46944029085	31.5891108596	-47.4705866499	182.888470986	0.085321289111	1047.52950971	717.734139697	859.33114556	-121.897421158	1372.47903797	1092.61002607	-94.363335445	-103.447666929	-6.0656749714	-10.4185182101	29.8481011743	713.623069063	-54.7633745088	90.0343290791	483.923568224	827.738002127	466.404935345	153.134937043	-55.651799696	180.232378777	538.107828314	-10.1203038331	962.954550929	-126.747935316	854.20521708	867.685266782	431.206266853	940.452393808	54.6558327971	-9.49071636551	281.561206295	137.982807188	90.1516220174	58.516038987	-78.7910841857	-29.7317684816	390.338786774	125.37134033	380.62467586	-68.7833836021	8247.21083411	1088.4112648	700.418364555	279.462159429	907.884364426	249.614440273	66.6294114569	5110.87941127	657.707260034	61.9538757218	-136.697957016	2013.46648727	-16.8926498062	27.7174635278	195.76446164	1347.33990884	25364.3106828	1633.30647913	29592.3307727	78.704769504	30.7959207213	477.324712274	51.8431405073	-20.2437739382	-122.827186837	99.0695778787	4855.03931157	5119.31503324	60.1548135526	715.016456657	343.259270669	-6.90319070066	264.381091936	-133.993958103	-113.864817387	-34.7038659339	-46.7779077182	33.5681446747	-96.0337227072	-54.997333524	-33.4470919245	-21.7420833739	-50.7409381274	-57.8486013331	563.493224995	25427.0606173	28.2739078509	1173.65459067
mcmv-miR-m107-1-5p	-82.6715672938	45.8220442682	202.601735296	119.695147216	-0.527722822169	1078.99246164	153.395441833	6018.82002524	6186.8991796	-47.079718052	-14.7433197473	-20.7418541628	-112.54258884	-83.8485386241	815.129820607	236.892290821	-109.754634132	-37.7592361688	-101.790133088	121.466600484	591.63799251	569.873909516	89.1831176323	-80.0056521877	2808.17222972	-137.157647939	751.29986309	67.6892491313	682.751347928	-39.5112784916	-12.6670226715	67.107310289	-80.4148221719	523.305306337	475.085774658	-136.668730341	-74.2478719598	254.87639997	-117.865717186	28351.3122214	-40.2350827848	-82.7629646913	929.422046755	-66.0370184204	-112.857945623	791.108098097	-60.6622684545	91.3328456811	896.235246105	-78.0676215087	-115.494019361	4457.02729108	16240.604412	610.645167423	15713.0756647	179.371479632	6833.51221772	1437.58409017	3230.05002149	-38.7470676864	-15.7925826382	26.5035273437	-56.3720501046	117.202254606	-27.8283873334	984.870742195	687.369775388	912.454729031	-131.374794437	1314.88225612	935.008232281	-99.7204283803	-105.90464371	-28.0142088455	-27.0390840673	19.4197355174	707.785821624	-67.3388217095	71.1118278612	438.609974305	821.752410158	447.103978525	142.442758855	-66.3620581338	163.974078877	528.437898863	-33.7800478999	909.698931334	-129.407054889	785.041869479	881.379708082	456.586738156	917.327704501	36.4940779968	-24.3213462996	284.398285519	129.909333234	98.8040818129	45.009783602	-73.9629508971	-27.8279682654	386.153672838	109.503973375	380.62467586	-73.2949742855	7995.70173341	1105.56450679	624.911857827	261.111950804	928.116929232	207.208033163	76.9540040918	4798.54654175	601.830335333	52.3659625474	-136.697957016	1970.70260141	-10.5575691455	32.7325153552	175.549176308	1278.86217796	25531.9142419	1556.86154232	28997.1439447	90.0606018811	40.0746515965	461.058780283	64.6122129864	-18.885152982	-126.943947499	99.0695778787	5274.17780913	4976.69642608	49.8713809636	759.684735463	343.259270669	-8.0533250797	270.200766262	-134.91216464	-115.190300034	-44.2983382274	-47.9197100271	25.5703513496	-84.3659793175	-49.5898674064	-32.2510012492	-22.8648729606	-49.5019033821	-66.4046410595	568.376523934	22448.9124573	26.7152434174	1015.66524056
mcmv-miR-m108-1	-82.6715672938	36.0245074463	160.963590712	98.6394803928	-11.0589290331	1061.81638571	133.832621105	6139.63510055	5711.46089486	-49.9109594498	-28.0909540937	-41.4632403261	-119.484048743	-88.6485793628	801.456584749	225.292597922	-106.132663811	-50.5479950055	-109.431931691	80.0233830984	507.340324102	489.06730409	43.2193641345	-92.5031309173	2576.09710515	-135.871337739	644.094544879	35.1285151921	626.342550595	-49.1830895594	-23.4347659175	69.0770160513	-83.2865663583	439.333944857	415.526676996	-148.835201972	-87.4494928389	225.596981516	-124.634713409	27605.2148814	-50.9136106395	-81.969475504	758.292041783	-82.7020487297	-122.350627252	734.223344539	-59.703266532	46.845137778	819.796018587	-82.6697499459	-123.637352814	4488.5077934	15406.8406404	621.515234872	14416.360597	102.061252523	6450.04644173	1352.02227917	3141.25675251	-42.2892859064	-76.6510924218	-42.1518501204	-57.4847330365	5.73473590171	-75.5518246557	762.084013261	535.547953847	832.769353824	-127.990018266	1266.88493791	822.435522433	-108.138717279	-113.275574055	-38.4108827859	-41.1026397927	8.99136986046	678.599584426	-75.7224531767	52.1893266432	372.382413961	672.112610927	408.502064884	147.025120935	-67.3357179918	154.683621791	523.602934137	-74.1987773474	932.522768304	-127.412715209	791.329446533	792.365839631	423.954703624	871.078325887	27.4132005967	-28.7705352798	239.005017926	95.5970689276	59.8680127329	46.3604091405	-82.9294841473	-44.010270103	394.52390071	93.6366064207	313.453974834	-73.2949742855	7190.87261117	1054.10478081	619.518535918	219.168616806	799.977352126	207.208033163	40.8179298698	4579.91353308	606.91005576	50.9962606653	-136.697957016	1899.4294583	-23.2277304669	31.0608314127	166.360410249	1229.94951304	24191.0857693	1436.73378448	29195.539554	49.5040576771	29.108878744	448.85933129	53.2619263383	-32.4713625435	-127.858783202	94.8768984872	4693.83219713	5012.35107787	37.8740429431	659.181108148	295.162644109	-13.8039969749	267.290929099	-132.157545027	-121.817713272	-43.3388909981	-50.7742157996	13.0023904102	-89.8566820891	-54.0960891711	-41.819726652	-28.4788208944	-55.6970771086	-74.1050768132	529.310132418	21853.2828253	6.45260578165	920.871630489
mcmv-miR-m108-2-3p	-89.6240310709	21.3282022135	128.578367146	77.5838135695	-12.4630898612	1027.46423384	112.09615363	5696.64649108	5315.26232424	-52.7422008477	-43.4920706473	-42.5538395979	-121.061653266	-90.0485912449	767.273495106	209.053027863	-111.824331458	-56.3610672041	-114.722407647	104.016824742	492.464264972	455.793995973	32.0766360138	-95.7919411093	2595.43669886	-144.875509134	644.094544879	46.5247720708	575.574632995	-57.4732133318	-31.510573352	67.107310289	-84.4352640328	447.731081005	407.585463975	-148.074797495	-90.4960207341	228.524923361	-127.643156174	26859.1175415	-52.5564610787	-83.5564538787	764.873965052	-82.7020487297	-127.528453596	702.620703673	-64.0187751836	19.8347436939	778.101894486	-93.0245389296	-133.81651963	4457.02729108	15302.6201689	556.294830181	14216.8659712	87.0287083626	5853.54412353	1298.54614728	2941.4718973	-48.6652787025	-82.3924612693	-49.7802253942	-65.2735135593	1.75375309083	-79.1535935102	776.00818382	540.608681231	779.645770352	-138.821302014	1238.08654699	859.959759049	-113.495810214	-114.913558577	-46.4971847395	-48.7736701883	7.25330891764	614.389862593	-74.6046356478	54.081576765	379.353736102	654.15583502	393.061299428	131.750580667	-76.0986567136	138.425321891	499.428110509	-72.2271320085	864.051257395	-129.407054889	772.466715369	737.58807443	384.071105862	878.786555656	17.0350549965	-34.7027872534	216.30838413	107.707279859	63.1126851563	31.503528217	-87.0678841089	-38.2988694544	381.968558902	86.8363062972	309.91867478	-74.4228719563	6989.66533061	1114.14112779	641.091823554	208.682783307	820.209916932	199.256831829	42.5386953089	4205.11408965	571.352012768	42.778049373	-138.568318352	1956.44797278	-24.4947465991	22.7024117004	159.009397401	1141.9067162	24023.4822102	1382.13025819	28997.1439447	43.0150106044	24.0477528121	444.792848292	46.1679971833	-37.9058463681	-127.401365351	82.2988603127	4564.86650557	4869.7324707	32.7323266486	614.512829341	301.57552765	-21.8549376281	249.831906121	-138.125887523	-122.701368371	-46.2172326861	-52.486919263	11.8598485067	-96.0337227072	-52.2936004652	-41.819726652	-32.9699792414	-61.8922508352	-80.9499085943	529.310132418	21257.6531933	3.33527691461	960.368968017
mcmv-miR-m108-2-5p.1	-78.8090874177	37.6574302499	193.348814277	100.259147071	2.28059883407	1207.81303116	157.742735328	6139.63510055	6147.27932254	-42.1250456057	-8.58287312594	-27.2854497933	-107.494254364	-84.248542019	958.698797107	257.771738039	-103.028117822	-21.482634013	-99.4388104407	128.010266387	601.555365264	565.120579785	90.5759586474	-70.1392216117	2769.49304229	-137.800803038	775.123267137	75.8294326162	682.751347928	-22.9310309468	-18.0508942945	67.107310289	-82.1378686837	565.290987077	494.938807211	-129.064685571	-88.4650021373	260.732283661	-108.84038889	28351.3122214	-34.4851062477	-81.969475504	883.348583878	-56.3157507399	-111.132003509	854.313379828	-61.1417694158	97.6882325244	937.929370205	-73.4654930715	-114.476102679	4488.5077934	16032.1634691	594.34006625	14915.0971615	198.699036409	6535.26105862	1523.14590118	3230.05002149	-37.3301803984	-4.30984494318	22.6893397068	-63.0481476957	135.116677255	-1.71556313815	880.439463007	641.823228926	799.567114154	-121.220465924	1324.48171976	1010.05670551	-110.434614251	-105.08565145	-28.0142088455	-10.4185182101	24.6339183459	684.436831866	-64.2648235049	50.2970765214	480.437907154	809.781226219	454.824361253	143.970212882	-65.3883982758	166.296693148	542.94279304	-2.23372247747	947.738659616	-124.088815743	797.617023588	840.296384182	413.07735878	894.203015194	42.9804189969	-15.4229683391	247.5162556	164.22159754	92.3147369663	46.3604091405	-73.2732175702	-24.9722679411	386.153672838	102.703673252	338.201075212	-78.9344626397	7844.79627299	1131.29436978	684.238398828	268.976325929	880.907611351	217.80963494	56.3048188221	5048.41283736	576.431733195	52.3659625474	-136.697957016	1899.4294583	-13.0916014098	19.3590438154	173.711423097	1337.55737586	26034.7249191	1524.09942655	29592.3307727	78.704769504	36.7005676419	448.85933129	60.3558554934	-24.3196368066	-122.369768986	105.358596966	4532.62508268	5368.89759578	41.3018538061	659.181108148	327.227061816	-12.6538625958	276.020440587	-134.91216464	-119.608575526	-45.2577854568	-43.3525007913	16.430016121	-93.9747091678	-50.4911117594	-23.8783665217	-16.1281354402	-47.0238338914	-73.2494728406	558.609926055	23640.1717213	1.77661248109	1055.16257809
mcmv-miR-m108-2-5p.2	-76.491599492	52.3537354828	186.409123513	92.1608136779	9.30140297466	1139.10872742	101.227919892	5817.46156639	5671.8410378	-49.2031491003	-20.9037663688	-21.8324534346	-100.237273557	-68.4484079208	821.966438535	255.451799459	-99.406147501	-37.7592361688	-103.553625073	130.191488354	715.605151934	508.080623013	85.0045945871	-41.1976919221	2866.19101086	-141.016578536	858.505181301	131.182680313	750.441904727	-32.6028420146	-11.3210547658	100.592308248	-82.1378686837	460.326785227	498.909413722	-131.345899002	-76.2788905566	234.380807052	-125.3868241	28164.7878864	-3.27094790323	-76.4150511922	810.947427929	-68.8145234719	-111.994974566	721.582288192	-58.7442646094	138.998247006	889.286225421	-72.3149609622	-112.440269316	4457.02729108	15302.6201689	626.950268596	14915.0971615	237.354149963	6151.79528263	1544.53635393	3274.44665598	-9.70087828228	7.17289275185	55.7456325599	-54.146684241	93.3163577412	-20.6248496243	950.060315799	712.673412312	958.937864569	-90.7574803827	1343.68064704	1040.07609481	-102.781624343	-109.180612753	40.1417647636	79.0768364059	87.2041122875	771.995543458	-48.3359237173	71.1118278612	414.21034681	959.42102545	462.544743981	168.409477311	-66.3620581338	163.974078877	591.292440296	40.1566523089	940.13071396	-126.747935316	860.492794135	936.157473283	492.844554303	1002.11823196	31.3050051967	5.33991356854	247.5162556	226.791020686	140.984823316	49.0616602175	-78.7910841857	-41.1545697787	386.153672838	100.436906544	348.806975374	-63.1438952479	7039.96715075	1234.21382175	727.384974101	234.897367056	833.69829347	220.460035385	63.1878805787	4579.91353308	601.830335333	64.6932794859	-132.957234343	2041.97574451	2.11259217599	34.4041992976	192.088955216	1249.51457901	25029.1035647	1469.49590026	29393.9351633	145.217501999	27.4218367667	465.125263281	57.5182838314	-28.395499675	-125.571693945	86.4915397042	4468.14223691	5083.66038145	32.7323266486	748.517665762	298.369085879	-23.0050720071	278.93027775	-125.730099263	-110.772024543	-28.9471825578	-49.0615123361	36.9957703854	-78.1889386995	-51.3923561123	-23.8783665217	-11.6369770932	-47.0238338914	-54.4261854426	568.376523934	21406.5606013	32.9499011515	1023.56470806
