Gene	E16.5-031	E16.5-032	E16.5-023	E16.5-024	E16.5-095	E16.5-096	E16.5-047	P0.5-a8	P0.5-a9	P0.5b-4.210	P0.54.311	P1-a12	P1-a13	P1b-6.314	p1b-6.215	P1.5-a16	P1.5-a17	P1.5-a18	P1.5-a19	P2-a20	P2-a21	p2-b22	P2b-5.123	P2b-6.124	P2.5-a25	P2.5-b26	p2.5b-427	P2.5b-528	P3-a29	P3-a30	P3-b31	P3b-5.732	P3b-533	P3.5-a34	P3.5-b35	P3.5b-5.936	P3.5b-5.437	P4-a38	P4-a39	P4b-6.340	P4b-7.341	P4.5-a42	P4.5-b43	P4.5b-6.344	P4.5b-5.545	P5-a46	P5-b47	P5b-2.748	P5b-2.849	P5.5-a50	P5.5-a51	p5.5b-7.952	P5.5b-9.153	P6-a54	P6b-7.255	P6b-8.756	P6c-6.557	P6.5-a58	P6.5-a59	P6.5b-6.360	p6.5b-4.461	P7-c62	P7-c63	P7-a64	P7b-7.765	P7b-8.366	P7.5b-8.767	P7.5b-968	P8-a69	P8-a70	P8b-6.371	P8b-72	P8.5-a73	P8.5-b74	P8.5b-9.175	P8.5b-9.376	P9-a77	P9-a78	P9b-10.379	P9b-1080	P9.5-a81	P9.5-a82	P9.5b-8.283	P9.5b-1084	P10-a85	P10-a86	P10b-6.787	P10b-6.688	P10.5-a89	P10.5c-10.590	P10.5b10.191	P10.5b-6.892	P11-a93	P11-a94	P11b-6.495	P11b-9.296	P11.5-a97	P11.5-a98	P11.5b-6.199	P11.5b-5.5100	P12-a101	P12-a102	P12b-6103	P12b-5.2104	P12.5-a105	P12.5-a106	P12.5b-11.3107	P12.5b-10.8108	P13-b109	P13-b110	P13c-6.1111	P13b-8112	P13.5-b113	P13.5b-6.5114	P13.5b-5115	P14-a116	P14-a117	P14b-5118	P14b-5119	P15-a120	P15-a121	P15c-11.8122	P15b-6.1123	P16-a124	P16-a125	P16c-11.2126	P16b-7127	P17-a128	P17-a129	P17b-9.7130	P17b-12131	P18-a132	P18-a133	P18b-8.6134	P18b-10.2135	P19-a136	P19-a137	p19c-8138	P19b-5.3139	P20-a140	P20c-9.2141	P20c-9.2142	P21-a143	P21b-7.1144	P21b-4145	P21c-10146	P22-a147	P22-a148	P22b-5.2149	p22b-6.1150	P23-a151	P23-a152	P23b-5153	P23b-3.5154	P24-a155	P24-a156	P24b-12.4157	P24c-8158	P25-a159	P25-a160	P25b-11161	P25b-11.1162	P26-a163	P26-a164	P26b-8.2165	P26b-7.6166	P27-a167	P27-a168	p27b-7.6169	P27b-8.1170	P28b-8.3171	P28c-8.4172	P28c-9.2173	p28b-7.3174
ABCA3	139.98	110.45	187.52	252.32	228.79	363.48	332.31	163.09	213.62	417.16	656.81	326.68	225.32	505.99	292.73	365.21	173.41	365.21	173.41	281.88	242.11	203.16	704.55	513.11	142.17	230.84	575.25	570.9	114.7	124.24	150.7	571.93	360.16	102.46	138.73	405.74	269.73	238.33	222.27	437.9	403.95	225.75	114.63	361.67	459.62	47.67	116	480.55	345.79	167.27	120.62	474.17	539.66	230.2	427.32	424.91	555.25	157.13	142.1	584.16	466.42	203.48	138.43	213.35	329.68	374.46	511.59	170.28	138.13	296.22	346.89	378.83	142.41	166.36	844.03	690.47	272.49	185.82	327.07	581.79	99.28	136.45	587.62	630.51	120.24	125.92	611.39	474.32	150.53	687.95	353.27	654.66	140.25	138.08	573.78	506.71	130.3	199.73	597.88	544.3	222.77	196.4	561.85	552.95	215.08	230.17	716.97	730.99	154.59	182.85	696	814.01	288.53	701.3	44.11	143.87	184.39	865.46	585.18	183.91	241.5	591.38	789.69	210.97	112.06	529.9	952.19	389.02	182.34	502.51	566.25	268.57	342.43	716.17	857.52	218.35	232.65	575.21	620.22	338.32	756.95	479.15	241.5	782.88	545.96	819.89	233.07	256.9	642.54	326.28	161.8	218.3	522.67	798.18	263.45	278.85	654.58	636.1	233.25	329.43	721.85	759.71	231.27	235.09	712.35	758.14	289.9	257.02	688.72	624.82	730.78	953.26	915.73	774.49
ABCD1	68.31	58.38	88.44	79.91	74.05	107.13	94.42	57.71	45.77	250.29	223.07	28.06	41.51	61.33	49.62	99.23	140.06	99.23	140.06	42.43	38.6	45.78	171.75	119.73	33.06	43.28	118.61	104.49	50.98	74.54	31.54	58.22	83.11	34.15	31.19	85.83	113.57	49.46	50.43	104.26	94.15	53.12	44.86	95.05	105.54	26.48	37.62	88.1	91.22	33.45	71.28	162.45	136.93	34.14	92.1	91.46	112.08	33.54	48.72	125.43	94.23	80.45	58.73	41.13	141.29	127.22	81.85	212.84	35.52	53	94.61	93.77	47.47	79.14	248.24	129.58	50.72	35.58	153.31	118.04	43.44	49.27	93.6	1891.53	49.19	68.69	218.35	109.46	69.47	125.76	151.4	163.66	28.05	56.86	104.32	86.37	58.95	48.34	93.7	108.86	35.67	38.29	116.9	137.59	53.19	57.54	140.33	133.37	51.53	35.29	131.92	120.59	49.96	130.62	176.45	55.34	59.27	109.61	109.6	32.75	46.78	109.74	127.04	96.93	60.34	138.33	129.56	53.42	82.88	105.74	122.52	40.95	50.63	112.64	153.91	50.95	45.39	134.33	143.84	50.75	119.23	156.96	46.56	142.09	135.66	144.97	42.04	44.07	134.5	61.56	45.73	52.84	132.37	128.96	46.71	51.15	135.63	166.65	48.21	50.63	155.55	158.95	32.63	38.68	123.46	121.93	46.84	50.14	146.39	102.06	130.06	157.79	136.36	111.15
ABCG2	116.71	160.41	143.67	143.65	180.81	145.32	145.77	30.11	20.34	133.49	198.28	66.8	17.79	245.33	193.5	60.64	13.34	60.64	13.34	35.23	38.6	40.06	132.89	119.73	9.92	33.87	194.22	114.69	19.12	24.85	10.51	154.11	188.39	28.46	41.58	190.27	99.38	47	45.52	113.53	160.97	39.84	21.18	139.1	181.3	21.19	25.08	160.18	165.47	20.91	16.45	206.35	249.69	52.43	139.99	154.34	130.95	15.89	8.12	137.98	155.47	18.93	8.39	28.28	100.92	127.22	196.45	297.98	15.79	52.85	100.91	150.03	38.99	17.77	248.24	210.82	23.59	23.72	102.21	177.29	24.82	18.95	93.6	1261.02	21.86	17.17	109.18	182.43	34.74	168.39	100.93	327.33	9.35	24.37	143.45	241.84	12.41	22.9	182.93	119.75	46.27	47.4	121.67	144.08	25.44	9.59	125.81	132.35	10.31	25.66	137.61	162.59	26.38	115.4	132.34	24.35	19.76	135.87	133.08	34.01	21.49	108.72	138.59	51.32	34.48	100.02	118.24	41.35	5.53	113.5	105.24	33.72	40.72	157.08	160.51	10.92	17.02	133.18	139.2	44.71	149.86	140.44	35.51	125.7	119.12	146.15	36.56	32.82	128.83	123.12	14.07	23.64	118.79	123.73	38.31	40.43	118.6	88.23	30.19	37.61	130.4	116.74	38.35	30.33	103.79	134.38	32.27	33.88	98.15	92.99	122.02	131.61	132.58	118.33
Acta2	11.93	11.51	9.33	13.27	10.95	12.26	10.24	15.05	15.26	16.69	12.39	10.98	77.08	46	24.81	13.09	13.34	13.09	13.34	17.26	28.07	14.31	28.83	21.38	16.53	21.33	31.13	45.88	25.49	24.85	17.52	47.95	44.33	39.84	13.62	21.01	28.39	12.63	8.93	37.07	18.22	36.52	11.21	27.82	24.68	10.59	18.81	56.06	19.09	27.18	27.41	17.56	16.11	14.14	36.84	24.77	29.74	17.65	4.06	19.71	14.13	37.86	25.17	10.28	26.91	28.8	28.65	42.57	15.79	13.03	25.23	22.5	13.56	21	198.6	23.21	11.8	19.77	10.22	20.06	18.62	22.74	26	630.51	10.93	17.17	43.67	36.49	34.74	22.91	50.47	163.66	9.35	16.24	6.52	20.15	21.72	10.18	17.85	5.44	8.96	12.43	10.74	12.98	6.94	4.8	14.52	23.08	41.22	16.04	18.2	19.92	6.17	10.15	132.34	13.28	6.59	14.84	21.53	11.34	8.85	14.23	5.77	22.81	25.86	19.15	16.35	8.45	11.05	9.7	8.64	6.62	4.7	3.1	6.6	7.28	17.02	18.37	13.92	12.08	20.78	33.05	3.95	6.83	6.62	8.32	7.31	8.44	17.02	12.31	10.55	1.39	23.76	8.71	3.67	6.6	5.24	13.07	6.82	3.98	13.97	7.18	4.58	7.58	9.83	9.12	7.29	4.07	7.49	12.47	6.7	9.45	8.52	7.17
actb	19571.92	15998.66	22882.32	21704.48	21826.54	26908.31	22604.87	8947.54	9063.4	31420.23	28255.15	8562.4	4370.12	25038.68	24346.51	9603.27	10540.23	9603.27	10540.23	8241.29	8126.51	9751.65	32476.79	30213.89	9922.32	12243.39	36138.26	35673.31	8946.6	11115.39	10997.55	35151.36	27560.55	8333.15	11414.53	33290.27	57992.52	9899.55	10802.1	29846.53	32531.82	9338.71	11424.34	29564.41	30770.97	9926.35	10330.64	27623.53	27883.67	18219.71	18984.24	29907.58	34191.64	8457.08	41737.74	41292.33	27664.21	10373.78	10791.85	26987.92	29610.83	12686.82	12681.43	10042.86	30182.4	27184.07	31346.09	38524.94	12139.74	11374.89	37993.82	37244.91	17432.16	14072.61	44882.48	39147.83	12118.26	15486.06	52106.29	33666.61	12664.71	12273.23	36042.6	630.51	9810.88	12706.75	40395.45	41447.99	11498.04	31240.07	41887.2	25368.08	13445.68	16179.51	30541.01	31447.63	14097.19	12430.27	30643.67	30007.51	11963.04	11677.76	29619.3	32377.51	11806.4	9321.94	29240.92	30606.11	11130.4	11311.09	28135.73	26993.25	10451.22	28809.3	27747.47	9778.92	11188.75	26276.72	22847.28	10617.5	12296.34	29392.27	27224.88	13975.44	12706.03	30235.99	27575.65	8354.63	9177.72	25767.71	25154.64	8297.42	9041.01	23956.99	25823.03	8060.65	9020.32	22180.75	22747	9840.77	24658.87	32648.61	9837.58	26648.08	24475.53	24349.48	9459.17	10383.98	26175.54	24150.67	10882.77	9993.27	30559.39	29072.43	10071.96	10351.39	21654.11	21436.82	8398.43	8350.79	25946.51	26491.14	8465.37	9611.34	19083.66	20465.71	9118.1	9257.13	23825.69	23088.95	23352.67	24777.51	23302.23	21750.39
ADAMTSL2	61.6	73.12	94.79	89.18	89.33	137.95	113.74	130.47	127.15	383.78	470.92	156.48	124.52	413.99	347.31	156.08	102.27	156.08	102.27	53.93	66.67	42.92	194.31	209.52	36.37	28.86	77.09	150.37	25.49	33.13	14.02	102.74	66.49	34.15	28.32	90.63	85.18	28.59	24.1	76.46	88.08	46.48	38.63	113.6	121.72	26.48	47.03	112.13	89.1	31.36	35.64	92.2	112.76	29.26	117.88	62.88	95.5	28.25	28.42	127.23	117.78	61.52	58.73	46.27	121.11	146.42	122.78	170.28	98.66	80.83	170.29	176.29	145.8	247.11	1290.87	754.29	176.94	158.14	286.19	383.97	155.13	140.24	343.21	630.51	87.45	154.54	414.87	547.29	220	536.61	454.2	327.33	130.9	162.44	723.75	794.61	136.5	174.29	642.5	816.46	143.76	161.1	1203.62	1291.52	231.27	254.15	1087.15	1146.5	288.57	330.41	982.59	740.79	276.75	1388.66	970.5	232.41	220.61	1185.16	1005.95	416.94	531.05	1067.94	1152.05	615.81	706.85	904.44	1538.34	413.16	353.63	1460.97	1317.85	451.63	467.71	1250.45	1512.02	349.36	278.04	548.81	668.17	186.07	763.51	817.87	224.93	770.59	665.08	661.85	204.74	186.58	444.83	572.52	214.56	225.26	271.52	338.09	200.47	221.1	543.19	475.99	140.24	147.18	585.86	552.27	299.96	264.66	700.33	686.81	161.35	163.97	403.42	367.41	899.73	735.85	723.49	865.93
AGER	385.68	350.16	637.94	662.94	586.41	886.76	790.27	2225.59	1703.84	3921.27	4746.37	2030.26	1316.37	3281.25	4455.51	3086.36	3001.33	3086.36	3001.33	2162.97	2473.74	2437.91	8295.33	6375.45	2969.09	2876.11	6819.94	8604.21	1994.51	1855.33	1857.46	5904.22	4260.97	1417.32	1941.5	4601.24	5437.24	2300.57	2255.49	7175.49	6748.74	2270.77	3111.2	6690.94	6484.53	1520.2	2323.22	5109.83	5218.64	2521.57	2719.47	6691.01	7869.31	1846.21	5466.8	5720.07	4306.49	1754.86	1798.64	6155.2	6463.97	2706.77	2634.45	1580.84	5940.94	5782.47	7690.21	11025.37	2225.88	2931.14	5632.22	5693.63	3451.85	4525.59	12511.49	10685.83	2984.44	3024.47	12254.89	9174.8	3661.04	3991.26	7992.71	1891.53	2164.41	2827.54	7926.24	8154.6	2211.61	6678.05	7822.31	5400.94	2973.38	3273.26	7146.23	7756.1	2978.28	3036.65	10137.22	9340.27	2958.25	3160.8	8276.23	9441.71	3420.5	2762.06	9077.05	9266.89	3380.34	3531.91	10337.66	7567.31	2920.15	9957.77	7102.29	2985.91	3829.47	10394.68	7971.3	4452.82	5490.05	13256.29	11800.62	4869.45	4120.41	12123.76	13038.78	2715.56	2917.42	8849.22	10321.34	3741.34	3991.72	10284.7	10510.83	3930.25	3981.5	7960	7374.56	3816.93	10852.18	11590.59	3879	9712.94	9175.43	9961.04	3887.32	4001.7	7054.15	18290	3774.15	3882.18	9594.78	10167.16	4351.64	4394.82	10452.26	10833.32	3475.36	3391.23	9331.88	9726.29	3083.21	3309.44	8997.19	9046.29	2954.18	2899.46	9180.42	8804.21	11896.24	11248.62	10801.2	11988.53
Akt	447.39	427.35	496.5	498.69	620.2	651.55	612.74	286.04	203.44	367.1	223.07	238.23	201.61	138	228.23	356.94	342.37	356.94	342.37	234.42	200	163.1	562.88	282.21	204.99	299.22	550.04	609.12	203.91	323.03	304.9	482.89	326.91	244.76	339.12	707.65	411.7	399.33	363.98	470.33	467.73	302.11	363.82	623.65	770.72	254.25	288.44	352.4	362.76	487.17	433.14	474.17	511.47	301.16	570.99	756.45	520.37	263.05	308.57	542.95	518.25	392.77	495.01	298.18	275.85	501.68	482.94	170.28	343.35	537.67	643.32	637.63	493.36	486.15	794.38	974.78	423.48	304.42	725.69	806.67	297.85	307.02	650.03	630.51	235.02	206.06	262.02	510.8	335.79	679.95	353.27	163.66	458.16	357.38	638.99	558.53	291.62	357.48	575.57	549.75	377.51	307.61	462.84	480.26	335.34	364.44	452.44	463.22	226.73	298.34	400.31	592.74	354.77	445.13	88.23	236.84	263.42	542.34	436.44	258.23	309.78	343.45	495.18	216.67	146.54	274.52	605.02	248.68	187.86	561.69	545.83	172.22	205.67	368.93	578.28	174.68	175.9	413.33	400.59	239.24	350.04	198.27	228.08	460.44	327.58	344.59	227.59	230.65	451.32	492.49	207.53	179.37	268.12	346.81	254	237.6	379.38	309.34	170.92	192.74	417.28	424.76	172.88	170.63	303.73	348.38	175.92	177.52	349.35	267.62	323.15	519.89	491.48	267.13
ALDH1A1 (PMID 11751205)	56.85	70.87	140.5	152.08	115.71	132.8	77.56	293.57	417.06	1852.17	1586.25	118.66	100.8	613.32	754.16	438.25	295.69	438.25	295.69	497.6	410.54	420.63	1629.73	1158.78	234.75	369.47	1329.89	1159.63	267.63	438.98	262.85	839.06	670.45	295.99	221.18	641.03	354.91	268.85	258.87	456.43	309.8	119.51	73.51	194.75	466.43	111.23	75.25	248.28	299.12	209.09	134.33	122.93	153.04	130.71	331.54	312.49	415.15	97.1	77.14	345.84	141.34	108.84	88.09	295.61	235.48	259.24	135.06	553.4	185.49	137.97	649.63	585.12	128.85	51.68	496.49	235.96	153.35	126.51	490.6	452.56	105.49	75.81	124.8	630.51	174.9	194.61	109.18	328.37	185.27	286.16	605.6	163.66	121.55	73.1	515.1	446.25	114.79	94.14	481.87	364.68	158.76	149.33	654.89	952.74	157.26	153.45	669.39	851.54	92.75	83.41	326.39	1264.63	531.6	1025.96	485.25	183.71	266.71	662.23	1853.38	193.98	222.54	860.65	783.92	387.73	362.04	657.58	787.41	353.71	292.85	1203.89	1336.7	379.37	512.6	1686.56	1883.61	225.63	368.83	4578.75	2841.25	431.35	2309.14	2247.07	662.15	1087.57	1151.48	1796.62	328.13	402.23	965.83	190.84	172.35	226.65	1011.41	918.43	835.48	476.86	2742.15	5031.08	796.16	286.4	1414.82	1132.38	479.14	775.79	2060.56	1838.95	321.13	293.6	1632.8	1291.6	2342.51	1906.52	1912.89	2413.12
ALDH1A2	34.27	25.68	40.12	52.95	65.88	22.3	50.12	25.09	25.43	83.43	37.18	20.13	35.58	76.66	34.73	37.55	22.23	37.55	22.23	15.82	14.04	14.31	41.37	47.04	26.45	23.21	43	94.3	6.37	8.28	10.51	47.95	27.7	5.69	11.83	22.81	14.2	17.01	16.29	13.9	39.48	23.24	8.72	39.41	30.64	10.59	21.95	24.03	70.01	16.73	5.48	39.51	56.38	7.07	22.1	7.62	22.3	7.06	16.24	46.59	28.27	18.93	4.19	12.85	6.73	28.8	4.09	42.57	27.63	7.85	25.23	45.01	6.78	9.69	148.95	17.41	5.9	3.95	20.44	29.39	18.62	3.79	62.4	1261.02	5.47	45.79	65.51	18.24	23.16	17.05	50.47	163.66	18.7	8.12	13.04	8.64	3.1	1.27	22.31	27.22	8.6	9.12	31.01	44.13	4.63	4.8	11.29	15.9	10.31	6.42	29.57	32.84	5.05	31.7	44.11	8.85	6.59	17.13	27.4	3.78	8.85	21.34	10.11	17.11	8.62	23.41	23.9	6.34	22.1	19.4	11	7.23	10.96	12.4	8.8	3.64	1.89	47.07	12.37	9.67	18.6	41.31	5.52	10.93	23.16	13.07	2.74	10.31	17.83	6.16	7.03	12.51	27.15	26.14	2.62	2.48	11.14	32.68	9.74	7.59	13.97	14.37	5.15	3.79	20.76	18.25	2.08	3.61	5.82	13.61	12.07	15.27	17.99	12.55
