id	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.5	1.5	1.5	1.5	2.0	2.0	2.0	2.0	2.0	2.5	2.5	2.5	2.5	3.0	3.0	3.0	3.0	3.0	3.5	3.5	3.5	3.5	4.0	4.0	4.0	4.0	4.5	4.5	4.5	4.5	5.0	5.0	5.0	5.0	5.5	5.5	5.5	5.5	6.0	6.0	6.0	6.0	6.5	6.5	6.5	6.5	7.0	7.0	7.0	7.0	7.0	7.5	7.5	8.0	8.0	8.0	8.0	8.5	8.5	8.5	8.5	9.0	9.0	9.0	9.0	9.5	9.5	9.5	9.5	10.0	10.0	10.0	10.0	10.5	10.5	10.5	10.5	11.0	11.0	11.0	11.0	11.5	11.5	11.5	11.5	12.0	12.0	12.0	12.0	12.5	12.5	12.5	12.5	13.0	13.0	13.0	13.0	13.5	13.5	13.5	14.0	14.0	14.0	14.0	15.0	15.0	15.0	15.0	16.0	16.0	16.0	16.0	17.0	17.0	17.0	17.0	18.0	18.0	18.0	18.0	19.0	19.0	19.0	19.0	20.0	20.0	20.0	21.0	21.0	21.0	21.0	22.0	22.0	22.0	22.0	23.0	23.0	23.0	23.0	24.0	24.0	24.0	24.0	25.0	25.0	25.0	25.0	26.0	26.0	26.0	26.0	27.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0
ABCA3	7.274	6.775	7.491	7.982	7.597	8.163	8.109	8.078	8.347	7.817	8.514	8.837	8.873	8.679	7.754	8.679	8.047	8.679	8.047	9.07	8.796	8.579	8.837	8.551	8.163	8.679	8.551	8.38	7.541	7.754	8.015	8.579	8.163	7.569	7.982	8.226	7.325	8.412	8.347	8.347	8.287	8.478	7.754	8.015	8.163	6.453	7.915	8.551	8.078	7.883	7.516	8.445	8.551	8.679	8.412	8.047	8.608	8.478	8.287	8.796	8.347	8.347	8.047	8.579	8.109	7.949	8.478	6.949	7.693	8.837	7.628	7.852	7.852	7.782	8.643	8.608	8.679	8.226	7.351	8.226	7.299	8.109	8.317	5.776	7.915	7.693	8.608	8.078	7.693	8.679	7.628	8.981	8.136	7.852	8.412	8.287	7.949	8.412	8.478	8.226	8.478	8.347	8.412	8.163	8.347	8.317	8.679	8.551	8.412	8.257	8.608	8.837	8.754	8.551	3.846	7.915	8.047	8.754	8.347	8.226	8.347	8.347	8.608	8.317	7.433	8.347	8.837	9.259	8.317	8.347	8.478	8.608	8.837	8.679	8.754	8.608	8.608	8.551	8.551	8.981	8.551	8.109	8.608	8.909	8.608	8.754	8.608	8.837	8.551	7.433	8.109	8.412	8.608	8.981	8.837	8.837	8.754	8.679	8.837	9.259	8.909	8.837	8.679	8.754	8.981	8.981	9.153	9.153	8.909	8.981	8.679	9.259	9.153	8.837
ABCD1	6.076	5.753	6.055	5.799	5.854	6.241	6.241	6.453	5.927	7.071	7.017	5.64	5.08	5.264	5.152	7.119	7.782	7.119	7.782	6.015	5.514	6.491	6.684	6.413	5.753	6.181	6.324	6.076	6.055	6.708	5.879	5.386	6.113	5.386	5.905	5.854	5.994	6.16	6.16	6.221	5.972	6.34	6.279	5.95	6.113	5.454	5.994	5.95	6.076	5.854	6.798	6.602	6.472	5.799	5.826	5.905	6.34	6.076	6.509	6.357	6.015	6.877	6.433	5.927	6.9	6.413	5.776	7.377	5.693	6.302	5.753	5.854	6.035	6.975	6.775	6.357	6.181	5.693	6.375	6.055	6.076	6.181	6.035	9.922	6.26	6.532	7.071	6.035	6.221	6.279	6.202	5.64	5.666	6.375	5.994	5.905	6.532	6.324	5.927	6.035	5.723	5.905	6.324	6.433	6.221	6.393	6.731	6.554	6.26	5.854	6.433	6.324	6.279	6.602	6.798	6.324	6.393	6.202	6.035	5.826	6.136	6.357	6.509	7.216	6.279	6.731	6.602	6.602	7.119	6.554	6.684	6.357	6.602	6.433	6.708	6.472	6.453	6.472	6.731	6.34	6.393	6.663	6.375	6.731	6.663	6.602	6.375	6.279	6.532	5.799	6.279	6.554	6.684	6.684	6.34	6.491	6.622	6.923	6.491	6.509	6.684	6.642	5.95	6.221	6.602	6.602	6.491	6.622	6.663	6.491	6.775	6.775	6.663	6.602
ABCG2	6.877	7.216	6.996	6.821	7.274	6.554	6.975	5.264	3.921	5.854	6.642	6.821	2.894	7.377	7.144	6.324	4.304	6.324	4.304	5.514	5.514	6.055	6.393	6.413	3.64	5.927	7.017	6.202	3.921	4.588	4.141	6.731	7.119	4.838	6.113	7.017	5.826	5.994	5.994	6.302	6.923	5.776	5.19	6.532	6.821	4.805	5.19	6.877	6.775	4.87	4.38	7.119	7.192	6.509	6.509	6.642	6.602	4.767	3.64	6.684	6.877	4.184	2.954	5.19	6.393	6.413	7.044	7.693	4.141	6.241	5.95	6.453	5.723	4.87	6.775	6.9	5.045	5.152	5.776	6.602	5.01	4.693	6.035	8.478	4.729	4.016	5.95	6.731	4.506	6.642	5.579	7.915	3.231	4.87	6.413	7.071	4.226	5.42	6.731	6.221	6.076	6.202	6.357	6.509	5.301	3.921	6.472	6.509	2.894	5.301	6.532	6.684	5.454	6.393	6.375	5.264	4.463	6.433	6.375	5.905	5.045	6.26	6.642	6.094	5.152	6.221	6.357	6.16	2.169	6.602	6.453	6.113	6.16	6.975	6.775	3.556	5.19	6.433	6.684	6.113	6.821	6.578	5.905	6.602	6.554	6.642	6.113	5.753	6.472	6.324	4.016	5.301	6.472	6.554	5.95	6.16	6.472	5.994	5.95	6.136	6.472	6.357	6.26	5.753	6.433	6.821	6.076	6.113	6.357	6.324	6.731	6.509	6.578	6.731
Acta2	4.34	4.268	3.921	4.184	4.098	4.506	4.304	3.921	3.462	2.333	1.992	3.921	6.663	4.622	3.846	4.016	4.304	4.016	4.304	4.656	4.805	4.098	4.304	3.509	4.622	5.045	4.34	4.656	4.656	4.588	4.944	5.045	5.01	5.826	4.805	4.016	3.734	4.34	3.846	5.08	3.402	5.514	4.34	4.38	4.098	3.509	4.656	4.693	4.057	5.454	5.42	3.186	3.287	4.805	4.38	4.226	4.34	5.116	2.41	3.883	2.954	5.386	4.907	3.342	4.463	4.547	4.547	4.268	4.141	4.42	3.883	3.734	4.098	5.152	6.375	4.098	4.268	4.907	2.607	3.462	4.34	5.116	4.016	5.776	3.921	4.016	4.622	4.057	4.506	4.098	3.734	5.64	3.231	3.968	2.607	3.921	5.08	4.463	3.734	2.251	4.141	4.506	2.894	3.14	3.402	2.822	3.64	4.141	5.753	4.304	3.598	3.598	3.402	3.287	6.375	4.38	2.894	3.846	3.64	4.184	3.287	3.402	2.894	4.547	4.693	3.883	3.921	3.921	3.402	3.462	3.186	3.342	3.14	2.333	3.231	3.015	5.19	3.921	4.184	4.304	4.184	4.057	2.607	2.954	2.954	3.598	3.342	3.462	3.79	3.968	3.462	2.08	4.588	3.402	2.548	3.14	2.488	3.968	3.734	3.186	3.921	3.402	3.231	3.687	3.64	3.556	3.687	3.342	3.342	3.883	2.251	3.342	3.078	3.342
actb	14.956	14.956	14.956	14.956	14.956	14.956	14.956	14.079	14.079	14.079	14.079	14.079	12.381	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.956	14.079	14.079	14.956	14.956	14.079	14.079	14.079	14.079	14.956	14.079	14.079	14.079	14.956	14.079	14.079	14.079	14.079	14.079	14.079	14.956	14.079	14.079	14.079	14.956	14.956	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.956	14.079	14.079	5.776	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079	14.079
ADAMTSL2	5.95	6.076	6.181	6.16	6.076	6.472	6.472	7.628	7.541	7.659	7.852	7.817	7.782	8.195	8.047	7.726	7.433	7.726	7.433	6.602	6.453	6.302	6.975	7.192	6.055	5.693	5.61	6.578	4.656	5.301	4.622	6.113	5.753	5.386	5.723	5.95	5.579	5.301	5.264	5.799	5.826	6.113	5.994	6.357	6.357	5.454	6.357	6.302	6.035	5.666	5.776	5.826	6.055	5.514	6.279	5.514	6.094	5.799	5.666	6.433	6.375	6.221	6.433	6.181	6.622	6.578	6.491	6.949	7.095	6.821	6.663	6.775	7.915	8.837	9.259	8.796	8.015	7.782	7.095	7.659	8.015	8.226	7.659	5.776	7.405	7.915	7.949	8.317	8.796	8.226	8.163	7.915	7.915	8.078	8.679	8.837	8.078	8.226	8.551	8.837	7.726	7.915	9.479	9.479	8.412	8.796	9.259	9.259	9.07	9.07	9.07	8.478	8.679	9.713	9.999	8.679	8.347	9.259	9.07	9.316	9.479	9.373	9.373	9.844	10.421	9.153	9.479	9.373	9.713	9.844	9.608	9.479	9.373	9.373	9.373	9.479	8.909	8.412	8.679	7.982	8.608	8.909	8.412	8.837	8.754	8.551	8.347	8.047	8.163	8.163	8.837	8.514	7.462	7.852	8.109	8.478	8.608	8.347	7.982	8.047	8.551	8.478	9.07	8.837	8.909	8.837	8.109	8.163	8.347	8.163	8.981	8.837	8.837	9.112
AGER	8.551	8.347	8.981	9.373	8.837	9.608	9.608	12.381	12.381	11.366	12.381	11.366	11.868	11.868	11.868	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	11.868	12.381	12.381	12.381	12.381	11.868	11.868	11.868	12.381	12.381	12.381	12.381	11.868	11.868	12.381	12.381	11.868	12.381	12.381	12.381	11.868	11.868	12.381	11.868	12.381	12.381	11.868	9.922	11.868	11.868	11.868	11.868	11.868	11.868	11.868	12.381	12.381	11.868	11.868	11.868	11.868	11.868	12.381	11.868	11.868	11.868	11.868	11.868	11.868	11.868	12.381	12.381	12.381	11.868	12.381	11.868	11.868	12.381	12.381	11.868	11.868	12.381	11.868	12.381	12.381	12.381	12.381	11.868	12.381	12.381	12.381	11.868	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	11.868	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381	12.381
Akt	8.909	8.754	8.679	8.608	8.909	8.837	8.981	8.643	8.226	7.597	7.017	8.347	8.643	6.413	7.377	8.608	9.153	8.608	9.153	8.679	8.412	8.078	8.412	7.541	8.679	8.909	8.478	8.551	8.643	9.112	9.07	8.287	8.078	8.579	8.981	8.837	8.195	9.07	9.07	8.478	8.551	8.981	9.153	8.754	8.909	9.316	8.909	8.047	8.412	9.713	9.608	8.445	8.478	8.909	8.754	8.909	8.478	9.07	9.259	8.514	8.551	9.153	9.608	9.026	7.915	8.551	8.347	6.949	9.153	9.479	8.551	8.754	9.608	9.608	8.514	9.259	9.153	8.981	8.579	8.909	8.909	8.981	8.679	5.776	9.259	8.551	7.274	8.163	9.07	8.608	7.628	5.64	9.778	9.479	8.579	8.412	9.373	9.373	8.412	8.287	9.153	8.981	8.047	8.047	9.206	9.373	8.047	7.982	8.873	8.981	7.982	8.347	9.153	7.915	5.776	8.754	8.643	8.163	8.047	8.837	8.909	7.726	8.163	8.412	8.047	7.433	8.412	8.412	8.412	8.551	8.347	8.163	8.226	7.852	8.287	8.195	8.226	7.982	7.982	8.347	7.852	7.017	8.478	8.047	7.726	7.726	8.551	8.347	8.287	7.915	8.754	8.109	7.377	7.949	8.754	8.679	7.982	7.852	8.226	8.478	7.915	7.982	8.163	7.982	7.782	8.109	8.287	8.412	7.982	7.541	7.852	8.478	8.347	7.491
ALDH1A1 (PMID 11751205)	5.753	6.015	6.923	7.071	6.509	6.433	5.95	8.837	9.373	10.421	10.194	7.541	7.216	8.837	9.153	8.837	8.837	8.837	8.837	9.844	9.608	9.999	9.999	9.713	8.909	9.259	9.608	9.426	9.112	10.129	8.909	8.981	8.981	9.112	8.551	8.754	7.915	8.608	8.478	8.412	7.915	7.569	6.877	7.169	8.226	8.317	7.044	7.491	7.852	8.347	7.852	6.16	6.684	8.109	7.915	7.693	8.287	7.982	7.325	8.047	6.684	7.569	7.119	8.909	7.597	7.491	6.602	8.514	8.226	7.597	8.608	8.551	7.541	6.413	7.693	7.071	7.852	7.597	8.109	7.782	7.405	6.923	6.413	5.776	8.551	8.347	5.95	7.433	8.195	7.169	8.445	5.64	7.754	6.708	8.195	7.915	7.659	7.245	8.109	7.726	7.852	7.852	8.608	8.754	7.852	7.628	8.551	8.679	7.491	7.017	7.597	9.259	9.608	9.373	8.38	8.38	8.754	8.412	9.999	8.287	8.226	8.754	8.551	8.981	9.153	8.679	8.679	9.07	9.259	9.479	9.844	9.259	9.608	9.844	9.844	8.679	9.259	11.366	10.887	9.373	10.26	10.26	9.844	9.479	9.608	10.129	9.153	9.153	9.259	6.731	8.257	8.608	9.844	9.373	10.129	9.373	10.421	11.366	10.26	9.153	9.844	9.608	9.608	9.999	10.26	10.26	9.373	9.259	10.129	9.999	10.26	10.129	10.129	10.26
