Q64433	Hspe1
Q9CQV8	Ywhab
D6REF3	Ywhae
P68510	Ywhah
P68254	Ywhaq
P63101	Ywhaz
Q8R3B1	Plcd1
Q9CQ62	Decr1
O35226	Psmd4
Q9CR00	Psmd9
Q3UHX2	Pdap1
Q9CQX8	Mrps36
Q9DB15	Mrpl12
Q921H8	Acaa1a
P63325	Rps10
P63323	Rps12
P63276	Rps17
S4R1N6	Rps18
Q9CZX8	Rps19
P25444	Rps2
Q9CQR2	Rps21
P62908	Rps3
P97351	Rps3a
V9GWY0	Gm15013
P97461	Rps5
Q5M9L9	Rps8
Q9CXW7	Rps9
P14206	Rpsa
Q61503	Nt5e
P63038	Hspd1
P14869	Rplp0
P47955	Rplp1
P99027	Rplp2
P35979	Rpl12
P47963	Rpl13
Q9CR57	Rpl14
P35980	Rpl18
P67984	Rpl22
B1ARA5	Rpl26
P27659	Rpl3
Q9D1R9	Rpl34
Q9D8E6	Rpl4
P47962	Rpl5
P47911	Rpl6
P14148	Rpl7
P51410	Rpl9
P33434	Mmp2
P20029	Hspa5
B9EIV0	Ablim1
Q8QZT1	Acat1
Q9WV54	Asah1
O35381	Anp32a
Q9EST5	Anp32b
P97822	Anp32e
Q99KI0	Aco2
E9Q1F2	Actb
Q9JM76	Arpc3
Q9CPW4	Arpc5
Q9D898	Arpc5l
P11031	Sub1
Q8R146	Apeh
P31786	Dbi
P56376	Acyp1
Q9R0Y5	Ak1
P28650	Adssl1
P40124	Cap1
Q60994	Adipoq
P51881	Slc25a5
Q8BSL7	Arf2
Q9WUL7	Arl3
Q8VEH3	Arl8a
O35444	Ager
A2ASQ1	Agrn
Q9WTQ5	Akap12
O54931	Akap2
D3YVF0	Akap5
P00329	Adh1
P47738	Aldh2
Q91VB8	Hba-a2
A1A4T2	Ganab
P07758	Serpina1a
P29699	Ahsg
P55302	Lrpap1
Q7TPR4	Actn1
P57780	Actn4
Q9DBF1	Aldh7a1
A2AEK1	Cstf2
P17182	Eno1
P02772	Afp
Q9QWR8	Naga
Q9EPC1	Parva
O55042	Snca
Q6PAM1	Txlna
P31230	Aimp1
Q7TQF7	Amph
P12023	App
P10107	Anxa1
P07356	Anxa2
O35639	Anxa3
P97429	Anxa4
P48036	Anxa5
P14824	Anxa6
Q6GTX3	Apoe
Q00623	Apoa1
P06728	Apoa4
Q9JIX8	Acin1
Q3UL36	Arglu1
Q80ZP8	Manf
Q9D0A3	Arpin
B7ZNM3	Art3
Q8BP47	Nars
Q922B2	Dars
Q9Z2W0	Dnpep
Q62048	Pea15
Q03265	Atp5a1
P56480	Atp5b
Q9D3D9	Atp5d
Q06185	Atp5i
O35143	Atpif1
Q9CZ42	Carkd
O70133	Dhx9
Q61276	Actb
Q9JLV1	Bag3
O70318	Epb41l2
Q9R069	Bcam
Q05793	Hspg2
P18572	Bsg
Q01339	Apoh
P01887	B2m
Q8BFZ3	Actbl2
Q8BWG8	Arrb1
P23780	Glb1
P12265	Gusb
P29416	Hexa
P20060	Hexb
Q8K2I4	Manba
Q61344	Tpm2
Q8CGC7	Eprs
P28653	Bgn
Q91XV3	Basp1
Q9JMD0	Znf207
Q8VDK4	Cdh13
Q9CR86	Carhsp1
Q9CXW3	Cacybp
Q8VCQ8	Cald1
Q3UKW2	Calm1
Q8C1B1	Camsap2
P35564	Canx
O88456	Capns1
O35350	Capn1
P51125	Cast
Q08091	Cnn1
Q08093	Cnn2
Q9DAW9	Cnn3
P14211	Calr
O35887	Calu
Q922J3	Clip1
Q5RKN9	Capza1
Q99LB4	Capg
Q60865	Caprin1
Q3UZA1	Rcsd1
P00920	Ca2
Q64444	Ca4
P08074	Cbr2
Q8VCT4	Ces1d
Q80V42	Cpm
H7BXB1	Csnk1a1
P70677	Casp3
P24270	Cat
P26231	Ctnna1
P30999	Ctnnd1
P51437	Camp
P10605	Ctsb
P18242	Ctsd
P06797	Ctsl
Q9WUU7	Ctsz
Q07113	Igf2r
Q61490	Alcam
Q9JLQ0	Cd2ap
Q53YX2	Thy1
Q9Z0M6	Cd97
Q9JM96	Cdc42ep4
Q8R5M8	Cadm1
Q8R2Y2	Mcam
P53996	Cnbp
Q61147	Cp
Q8BHG9	Cggbp1
Q9DB34	Chmp2a
Q8BJF9	Chmp2b
Q9CQ10	Chmp3
Q9D8B3	Chmp4b
Q9D7S9	Chmp5
P0C0A3	Chmp6
Q9EQI5	Ppbp
Q61362	Chi3l1
O35744	Chil3
Q9Z1Q5	Clic1
Q9D7P7	Clic3
Q9QYB1	Clic4
Q8BXK9	Clic5
Q9CYJ8	Cbx1
Q32P00	Cbx3
Q61686	Cbx5
Q8R4N0	Clybl
Q5SXR6	Cltc
O08585	Clta
Q6IRU5	Cltb
Q9CQF3	Nudt21
H3BJW3	Cpsf6
Q99LC2	Cstf1
Q9CQI6	Cotl1
Q8BH61	F13a1
P18760	Cfl1
P45591	Cfl2
Q9CR29	Ccdc43
Q8R3Q6	Ccdc58
Q9D1L0	Chchd2
P60824	Cirbp
P11087	Col1a1
P02463	Col4a1
Q04857	Col6a1
Q80X19	Col14a1
O35206	Col15a1
P39061	Col18a1
Q01149	Col1a2
P08122	Col4a2
P01027	C3
O35658	C1qbp
O89103	Cd93
P06909	Cfh
O35864	Cops5
Q8C166	Cpne1
Q8BT60	Cpne3
O08997	Atox1
O88271	Cfdp1
Q04447	Ckb
P07310	Ckm
P47941	Crkl
Q9Z0H4	Celf2
Q01147	Creb1
Q62426	Cstb
P97315	Csrp1
P97314	Csrp2
P50462	Csrp3
Q9DCT8	Crip2
Q9CYA0	Creld2
Q9CQX2	Cyb5b
G5E850	Cyb5a
Q9DB77	Uqcrc2
P99028	Uqcrh
Q9D855	Uqcrb
P12787	Cox5a
P19536	Cox5b
P56391	Cox6b1
P62897	Cycs
P33267	Cyp2f2
Q8BMK4	Ckap4
Q9CPY7	Lap3
Q91V12	Acot7
Q9D1A2	Cndp2
Q9JII5	Dazap1
P28654	Dcn
Q3U0B3	Dhrs11
O35459	Ech1
P10518	Alad
Q9QZZ6	Dpt
P31001	Des
E9Q557	Dsp
Q9R0P5	Dstn
Q8CHR8	Drg1
O08749	Dld
Q9D2G2	Dlst
O08553	Dpysl2
Q62188	Dpysl3
P31428	Dpep1
P97821	Ctsc
P28352	Apex1
P63037	Dnaja1
Q99KV1	Dnajb11
Q91YW3	Dnajc3
Q6NZB0	Dnajc8
Q62418	Dbnl
Q9DD18	Dtd1
D3Z6H3	Dctn6
Q99KJ8	Dctn2
D6RIN4	Dynll2
P62627	Dynlrb1
Q62165	Dag1
Q7TMY8	Huwe1
P46935	Nedd4
Q923L7	Ear6
Q9D8Y0	Efhd2
Q9WVJ9	Efemp2
Q9EQP2	Ehd4
P54320	Eln
P70372	Elavl1
Q9DCW4	Etfb
P10126	Eef1a1
P62631	Eef1a2
O70251	Eef1b
P57776	Eef1d
P58252	Eef2
Q8BFR5	Tufm
O08600	Endog
P57759	Erp29
Q9D1Q6	Erp44
P08113	Hsp90b1
Q925F2	Esam
Q9JMG1	Edf1
D9J2Z9	Pdlim5
P42125	Eci1
Q8BH95	Echs1
P97426	Ear1
P97425	Ear2
Q9Z0J0	Npc2
Q8CHU3	Epn2
Q9CRD2	Emc2
O70378	Emc8
Q8R180	Ero1l
Q9D172	D10Jhu81e
P50171	Hsd17b8
Q91VC3	Eif4a3
Q60872	Eif1a
Q6ZWX6	Eif2s1
Q9Z0N1	Eif2s3x
Q9QZD9	Eif3i
Q66JS6	Eif3j2
Q8BGD9	Eif4b
Q9WUK2	Eif4h
O55135	Eif6
Q9JHI7	Exosc9
O09164	Sod3
P26040	Ezr
P47754	Capza2
P47757	Capzb
Q0P6B2	Fubp1
Q3U0V1	Khsrp
Q61553	Fscn1
Q05816	Fabp5
Q8CIB5	Fermt2
P29391	Ftl1
E9PV24	Fga
Q8K0E8	Fgb
Q8VCM7	Fgg
P61148	Fgf1
Q61851	Fgfr3
P11276	Fn1
Q08879	Fbln1
P37889	Fbln2
Q9WVH9	Fbln5
Q8BTM8	Flna
Q923D2	Blvrb
P34152	Ptk2
Q62356	Fstl1
P97447	Fhl1
P35505	Fah
O35901	Lsm2
P16045	Lgals1
P16110	Lgals3
Q07797	Lgals3bp
Q9ESY9	Ifi30
O08842	Gfra2
Q6PAC1	Gsn
O08795	Prkcsh
P17439	Gba
P26443	Glud1
Q80Y14	Glrx5
P11352	Gpx1
P46412	Gpx3
P47791	Gsr
P30115	Gsta3
P10649	Gstm1
P19157	Gstp1
P16858	Gapdh
Q9CZD3	Gars
Q9R062	Gyg1
Q9D1N2	Gpihbp1
Q61543	Glg1
Q9CYL5	Glipr2
P28798	Grn
Q60631	Grb2
Q61820	Rasl2-9
Q9ESX5	Dkc1
Q61646	Hp
Q8VDX8	Hars
P63017	Hspa8
P14602	Hspb1
P11499	Hsp90ab1
Q6PGH2	Hn1l
P49710	Hcls1
Q64314	Cd34
B1Q450	HBB1
P02088	Hbb-b1
P02104	Hbb-y
P06467	Hbz
Q91X72	Hpx
P51859	Hdgf
Q3UMU9	Hdgfrp2
Q99020	Hnrnpab
Q9CX86	Hnrnpa0
P49312	Hnrnpa1
G5E8G0	Hnrnpd
Q9Z130	Hnrnpdl
Q9Z2X1	Hnrnpf
O35737	Hnrnph1
Q8BT23	Hnrnpk
Q8R081	Hnrnpl
Q921F4	Hnrnpll
Q9D0E1	Hnrnpm
Q7TMK9	Syncrip
