UniqueID	P0.5 A	P0.5 B	P0.5 C	P1 d	P1 h	P1 i 	P1.5 c	P1.5 d	P1.5 g	P2.5 c	P2.5 g	P2.5 j	P4 a	P4 b	P4 f	P5 a	P5 b	P5 f	P7 a	P7 b	P7 c	P10 d	P10 e	P10 f	P13.5 a	P13.5 b	P13.5 c	P15 a	P15 b	P15 c	P19 c	P19 e	P19 f	P23 d	P23 e	P23 f 	P28c	P28d	P28e
Q920Q6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P55302	3.48	2.49	3.76	3.01	7.22	6.88	0.0	4.39	1.88	3.97	0.0	4.19	3.28	2.3	5.87	0.94	4.12	0.0	4.75	3.31	4.94	13.28	5.93	10.0	19.49	11.75	17.55	10.26	14.45	6.96	1.83	5.62	6.49	4.31	6.01	5.6	0.78	0.0	2.17
Q99KF1	4.65	3.74	1.25	3.01	6.02	4.59	0.0	0.0	2.82	1.99	0.0	3.14	0.82	0.0	0.0	0.0	1.03	1.64	4.75	0.0	0.0	0.89	0.0	0.0	1.95	0.9	0.0	1.03	0.9	0.0	0.0	0.0	1.85	0.86	0.75	2.8	0.0	2.42	4.35
P02301	6.97	8.72	7.51	1.0	1.2	2.29	1.97	0.88	3.76	3.97	0.0	5.23	0.82	1.53	8.38	0.0	0.0	0.0	8.55	3.31	2.96	1.77	0.85	0.91	2.92	0.0	3.7	0.0	2.71	13.92	0.0	1.87	0.93	3.45	2.25	0.0	3.12	1.21	0.0
Q9Z0H4	0.0	0.0	0.0	1.0	0.0	0.0	1.97	0.0	3.76	0.99	0.0	0.0	1.64	0.0	0.84	0.94	3.09	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q6P069	0.0	0.0	1.25	1.0	2.41	0.0	0.0	0.0	0.0	1.99	1.1	1.05	0.0	0.0	0.0	0.0	0.0	2.46	1.9	0.83	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	2.59	0.0	2.8	0.78	2.42	4.35
P10922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	2.06	0.0	3.8	0.0	0.0	0.0	0.0	0.0	2.92	0.0	1.85	0.0	0.0	3.48	0.0	0.0	0.0	0.0	0.0	1.87	0.0	2.42	5.43
P10493	10.45	11.21	7.51	7.03	8.42	5.74	1.97	2.64	6.58	5.96	4.39	11.51	2.46	3.84	5.87	2.83	6.18	0.0	5.7	9.92	5.93	11.51	9.32	9.09	15.59	9.94	17.55	16.41	17.16	3.48	7.3	18.72	11.12	13.79	17.29	14.94	13.25	13.28	10.86
Q3UTJ2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8R146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8R2L4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0
P52196	8.13	4.98	1.25	0.0	1.2	1.15	7.89	16.69	4.7	0.99	2.19	0.0	9.03	0.77	0.84	6.61	2.06	5.75	0.0	0.0	1.98	0.0	0.85	0.0	2.92	0.9	0.92	5.13	0.0	0.0	5.48	1.87	1.85	0.0	0.75	0.0	0.0	0.0	1.09
Q9D1D4	0.0	1.25	6.26	3.01	3.61	1.15	1.97	4.39	4.7	3.97	3.29	7.32	0.82	1.53	1.68	0.0	2.06	0.0	0.95	3.31	2.96	5.31	5.09	3.64	5.85	3.62	3.7	6.15	0.0	0.0	3.65	3.74	5.56	2.59	2.25	1.87	3.9	0.0	4.35
Q6NSR8	5.81	8.72	7.51	3.01	9.62	10.32	10.85	1.76	2.82	5.96	2.19	0.0	6.57	6.91	0.0	6.61	9.27	9.04	2.85	7.44	6.91	3.54	6.78	10.0	5.85	8.13	7.39	2.05	3.61	0.0	3.65	4.68	4.63	2.59	2.25	0.0	0.78	0.0	0.0
