Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End
Col1a1	current symbol	MGI:88467	Col1a1	collagen, type I, alpha 1	protein coding gene	11	+	94936224	94953042
FGF18	current symbol	MGI:1277980	Fgf18	fibroblast growth factor 18	protein coding gene	11	-	33117430	33147400
Hist1h1b	current symbol	MGI:1861461	Hist1h1b	histone cluster 1, H1b	protein coding gene	13	-	21779883	21780625
Hist1h2ab	human symbol	MGI:2448293	Hist1h2ag	histone cluster 1, H2ag	protein coding gene	13	-	22042460	22042944
Hist1h2ab	current symbol	MGI:2448306	Hist1h2ab	histone cluster 1, H2ab	protein coding gene	13	+	23751126	23751598
P4HA3	current symbol	MGI:2444049	P4ha3	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III	protein coding gene	7	+	100285520	100319699
PRSS35	current symbol	MGI:2444800	Prss35	protease, serine 35	protein coding gene	9	+	86743649	86758443
Shisa3	current symbol	MGI:3041225	Shisa3	shisa family member 3	protein coding gene	5	+	67607883	67623552
Tnc	synonym	MGI:98779	Tnnc1	troponin C, cardiac/slow skeletal	protein coding gene	14	+	31208312	31211729
Tnc	current symbol	MGI:101922	Tnc	tenascin C	protein coding gene	4	-	63959785	64020725
Wif1	current symbol	MGI:1344332	Wif1	Wnt inhibitory factor 1	protein coding gene	10	+	121033960	121100650
ABCA3	current symbol	MGI:1351617	Abca3	ATP-binding cassette, sub-family A (ABC1), member 3	protein coding gene	17	+	24351950	24410201
actb	current symbol	MGI:87904	Actb	actin, beta	protein coding gene	5	-	142903115	142906754
actb	western clawed frog symbol	MGI:1920603	Actrt2	actin-related protein T2	protein coding gene	4	-	154666433	154667867
AGER	current symbol	MGI:893592	Ager	advanced glycosylation end product-specific receptor	protein coding gene	17	+	34597862	34600936
Akt	synonym	MGI:87986	Akt1	thymoma viral proto-oncogene 1	protein coding gene	12	-	112653821	112674884
BCL2A1	human symbol	MGI:1278326	Bcl2a1b	B cell leukemia/lymphoma 2 related protein A1b	protein coding gene	9	+	89199209	89207827
BCL2A1	old symbol	MGI:102687	Bcl2a1a	B cell leukemia/lymphoma 2 related protein A1a	protein coding gene	9	+	88956900	88962419
BCL2A1	human symbol	MGI:1278325	Bcl2a1d	B cell leukemia/lymphoma 2 related protein A1d	protein coding gene	9	-	88723285	88731914
7	HomoloGene	MGI:87911	Acvr1	activin A receptor, type 1	protein coding gene	2	-	58388644	58567157
EGFR	current symbol	MGI:95294	Egfr	epidermal growth factor receptor	protein coding gene	11	+	16752203	16918158
EPHA7	current symbol	MGI:95276	Epha7	Eph receptor A7	protein coding gene	4	+	28813131	28967499
EXT1	current symbol	MGI:894663	Ext1	exostoses (multiple) 1	protein coding gene	15	-	53064038	53346159
GUSB	current symbol	MGI:95872	Gusb	glucuronidase, beta	protein coding gene	5	-	129989011	130003049
HIF1alpha	synonym	MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	protein coding gene	12	+	73901375	73947530
hprt	current symbol	MGI:96217	Hprt	hypoxanthine guanine phosphoribosyl transferase	protein coding gene	X	+	52988137	53021659
IGF1	current symbol	MGI:96432	Igf1	insulin-like growth factor 1	protein coding gene	10	+	87858265	87937042
ipo8	current symbol	MGI:2444611	Ipo8	importin 8	protein coding gene	6	-	148770683	148831467
KRT5	current symbol	MGI:96702	Krt5	keratin 5	protein coding gene	15	-	101707070	101712891
KRT5	zebrafish symbol	MGI:96705	Krt8	keratin 8	protein coding gene	15	-	101996711	102004342
PCYOX1	current symbol	MGI:1914131	Pcyox1	prenylcysteine oxidase 1	protein coding gene	6	-	86386006	86397150
PRIM2	current symbol	MGI:97758	Prim2	DNA primase, p58 subunit	protein coding gene	1	-	33453810	33669795
rplp2	current symbol	MGI:1914436	Rplp2	ribosomal protein, large P2	protein coding gene	7	+	141447370	141451585
Src	current symbol	MGI:98397	Src	Rous sarcoma oncogene	protein coding gene	2	+	157418444	157471862
tfrc	current symbol	MGI:98822	Tfrc	transferrin receptor	protein coding gene	16	+	32608920	32632794
TGFB1	current symbol	MGI:98725	Tgfb1	transforming growth factor, beta 1	protein coding gene	7	+	25687002	25705077
THTPA	current symbol	MGI:2446078	Thtpa	thiamine triphosphatase	protein coding gene	14	+	55053884	55098986
ywhaz	current symbol	MGI:109484	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	protein coding gene	15	-	36770770	36794547
ABCD1	current symbol	MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	protein coding gene	X	+	73716597	73738534
ALDH1A2	current symbol	MGI:107928	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	protein coding gene	9	+	71215789	71296243
AMACR	current symbol	MGI:1098273	Amacr	alpha-methylacyl-CoA racemase	protein coding gene	15	+	10981756	10996624
Cdh11	current symbol	MGI:99217	Cdh11	cadherin 11	protein coding gene	8	-	102632995	102785111
Ctnna2	current symbol	MGI:88275	Ctnna2	catenin (cadherin associated protein), alpha 2	protein coding gene	6	-	76881637	77979699
CTPS2	current symbol	MGI:1933185	Ctps2	cytidine 5'-triphosphate synthase 2	protein coding gene	X	+	162901238	163032508
Dnmt3a	rat synonym	MGI:2182540	Grhl1	grainyhead-like 1 (Drosophila)	protein coding gene	12	+	24572287	24617391
Dnmt3a	current symbol	MGI:1261827	Dnmt3a	DNA methyltransferase 3A	protein coding gene	12	+	3806007	3914443
E2F8	current symbol	MGI:1922038	E2f8	E2F transcription factor 8	protein coding gene	7	-	48866429	48881596
Eln	current symbol	MGI:95317	Eln	elastin	protein coding gene	5	-	134703781	134747241
