,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
Protein Name,Accession #,Predicted MW,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
10 kDa heat shock protein/ mitochondrial ,Q64433,11 kDa,9.85,6.91,10.83,7.13,6.93,13.68,10.45,14.95,10.02,5.02,9.62,9.18,7.89,5.27,7.52,7.94,13.17,6.28,5.75,5.37,5.87,6.61,7.21,2.46,5.70,9.10,8.89,3.54,5.09,0.91,5.85,6.33,7.39,9.23,1.81,10.44,1.83,2.81,3.71,4.31,3.76,3.74,6.24,9.66,4.35
14-3-3 protein beta/alpha ,Q9CQV8,28 kDa,6.57,2.30,10.83,3.57,6.93,0.00,5.81,7.47,5.01,12.05,9.62,6.88,9.86,6.15,6.58,13.90,7.68,5.23,4.93,6.14,7.54,10.39,13.39,9.86,11.41,4.13,6.91,15.93,5.93,5.45,20.46,9.04,2.77,15.38,8.13,0.00,7.30,14.98,14.83,13.79,12.03,22.42,6.24,14.49,11.95
14-3-3 protein epsilon ,D6REF3,15 kDa,16.42,9.22,19.86,14.27,16.16,15.20,29.04,21.17,17.53,9.04,15.64,17.21,22.68,13.18,11.29,13.90,13.17,11.51,12.32,11.51,14.25,7.56,7.21,9.86,9.50,12.40,12.84,19.47,18.65,19.09,22.41,18.08,17.55,19.49,17.16,17.41,10.96,15.91,12.97,12.93,14.28,19.62,8.57,14.49,11.95
14-3-3 protein eta ,P68510,28 kDa,11.49,1.15,7.22,9.51,4.62,0.00,5.81,6.23,8.77,8.04,7.22,3.44,4.93,6.15,5.64,13.90,2.19,10.46,2.46,3.84,4.19,9.45,12.36,9.04,11.41,2.48,0.00,10.62,5.93,0.00,12.67,6.33,3.70,9.23,7.22,10.44,2.74,10.30,6.49,12.93,4.51,9.34,3.90,8.45,5.43
14-3-3 protein theta ,P68254,28 kDa,9.85,3.46,14.45,3.57,6.93,6.08,8.13,7.47,8.77,14.06,14.44,10.32,12.82,4.39,8.46,9.93,2.19,8.37,5.75,4.60,6.71,8.50,14.42,10.68,17.11,6.62,4.94,9.74,8.48,6.36,16.56,8.13,2.77,10.26,6.32,15.67,2.74,6.55,12.05,8.62,9.02,15.88,4.68,9.66,11.95
14-3-3 protein zeta/delta ,P63101,28 kDa,19.70,20.74,21.67,21.40,20.78,25.84,31.36,18.68,25.04,23.10,21.66,18.35,30.57,32.50,27.27,30.77,13.17,24.07,23.81,24.56,21.79,25.51,16.47,22.18,21.86,22.33,14.82,28.32,19.49,20.00,38.98,26.21,26.79,34.87,26.19,45.26,23.74,29.02,27.80,24.13,26.30,45.77,21.83,20.53,31.51
1-phosphatidylinositol 4/5-bisphosphate phosphodiesterase delta-1 ,Q8R3B1,86 kDa,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,3.51,0.00,1.99,0.00,0.00,1.64,1.53,4.19,0.94,0.00,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.62,0.00,0.00,0.00,0.00,2.34,0.00,0.00
2/4-dienoyl-CoA reductase/ mitochondrial ,Q9CQ62,36 kDa,9.85,9.22,5.42,4.76,8.08,10.64,6.97,3.74,2.50,8.04,4.81,3.44,10.85,11.42,4.70,9.93,10.97,12.56,11.50,11.51,15.09,15.12,6.18,13.97,6.65,14.88,15.81,7.08,18.65,11.82,9.74,10.85,8.31,9.23,14.45,17.41,10.96,11.23,5.56,7.76,8.27,3.74,11.69,4.83,13.04
26S proteasome non-ATPase regulatory subunit 4 ,O35226,41 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.20,0.00,1.97,0.88,0.94,0.99,0.00,2.09,1.64,2.30,5.03,0.94,1.03,4.93,0.00,0.83,0.00,1.77,0.00,0.91,2.92,1.81,0.92,0.00,0.00,0.00,1.83,2.81,0.00,0.00,2.25,1.87,0.00,1.21,1.09
